tiempo,theta(rad),theta(deg)
0.0,0.2641585815743814,15.135171846374327
0.03333333333333333,0.27208133034476484,15.58911191305976
0.06666666666666667,0.26159733107431166,14.98842300244456
0.1,0.2605648623626489,14.929266902786976
0.13333333333333333,0.2744407117233281,15.724294508313195
0.16666666666666666,0.2728544677865578,15.633409425458039
0.2,0.27743183672990995,15.895673347186374
0.23333333333333334,0.2659211823577043,15.236161432225181
0.26666666666666666,0.2692886834138995,15.429105030251014
0.3,0.27410774340610167,15.705216829024547
0.3333333333333333,0.26696091114184806,15.295733503394889
0.36666666666666664,0.2611026994606967,14.960082698570677
0.4,0.2717609501870864,15.570755482185051
0.43333333333333335,0.26902632718655606,15.41407312569526
0.4666666666666667,0.240133745686017,13.758650146476613
0.5,0.26881520721409213,15.40197684230216
0.5333333333333333,0.2606531287628495,14.934324194991282
0.5666666666666667,0.17565454060412394,10.064263828925652
0.6,0.12520384025699272,7.173651625555835
0.6333333333333333,0.0918415917078512,5.262135588623572
0.6666666666666666,0.08448991010993319,4.8409152607388775
0.7,0.07078296967103541,4.055565423552838
0.7333333333333333,0.02093999603995792,1.1997733961102461
0.7666666666666667,-0.06556307433965398,-3.7564874515646403
0.8,-0.10563188009483865,-6.052260911466225
0.8333333333333334,-0.11666788195289134,-6.684577240631178
0.8666666666666667,-0.12390914948609552,-7.099471308608887
0.9,-0.13815340329784,-7.915606934334981
0.9333333333333333,-0.1712946471789949,-9.81446033653892
0.9666666666666667,-0.19237015887320535,-11.021998207695791
1.0,-0.19651862350641905,-11.259687722638223
1.0333333333333334,-0.14754486227794758,-8.453697897365382
1.0666666666666667,-0.12485924361233526,-7.153907692182593
1.1,-0.10666152000583824,-6.111254932784727
1.1333333333333333,-0.11014127973742616,-6.310630479124291
1.1666666666666667,-0.08492845887199593,-4.866042253915759
1.2,-0.02727982553785964,-1.5630188691725584
1.2333333333333334,-0.010331948764481552,-0.5919770583501983
1.2666666666666666,0.025172199384179694,1.4422607857753065
1.3,0.038641950545921865,2.2140206784345704
1.3333333333333333,0.04589020581046615,2.6293151139264377
1.3666666666666667,0.11150784172274701,6.3889287133261945
1.4,0.16639291209864315,9.533611604143546
1.4333333333333333,0.17345638690786477,9.93831889940892
1.4666666666666666,0.17583345063692607,10.07451461871776
1.5,0.18902632626528637,10.83041071186381
1.5333333333333334,0.18372197253306288,10.526493629962937
1.5666666666666667,0.19240075480036822,11.023751225192512
1.6,0.1783623646143492,10.219410716375748
1.6333333333333333,0.15460038135604653,8.857949362814486
1.6666666666666667,0.12311480659621289,7.053958813532387
1.7,0.08980572890485658,5.145489242344307
1.7333333333333334,0.07751573899115996,4.44132469003114
1.7666666666666666,0.05394218115137502,3.0906593177039285
1.8,0.01779306852866491,1.0194677312795488
1.8333333333333333,0.014439429602765915,0.8273183748147498
1.8666666666666667,-0.04625973725937923,-2.6504877063465115
1.9,-0.06354445427274752,-3.6408290412904836
1.9333333333333333,-0.08458357112433947,-4.846281641569271
1.9666666666666666,-0.11097327406488151,-6.358300242666308
2.0,-0.13224301900703747,-7.5769668591715735
2.033333333333333,-0.15835143780624714,-9.072869066126303
2.066666666666667,-0.15649967138559276,-8.966770665578762
2.1,-0.1396867776620625,-8.003462813818485
2.1333333333333333,-0.1316224309603665,-7.541409783281059
2.1666666666666665,-0.13336396619482757,-7.641192402089005
2.2,-0.10113887931715212,-5.79483092955579
2.2333333333333334,-0.07294997195521565,-4.1797255086315745
2.2666666666666666,-0.052664357946395846,-3.017445441094741
2.3,-0.010820031126779097,-0.6199421177646228
2.3333333333333335,-0.010789850952368141,-0.6182129211459063
2.3666666666666667,0.014500582341879861,0.8308221686716434
2.4,0.06148074910952118,3.522587445278258
2.433333333333333,0.08354375142153737,4.786704361144163
2.466666666666667,0.08606981942932596,4.931437396753469
2.5,0.12104480909302973,6.935356692997374
2.533333333333333,0.15269223533009713,8.748620648832924
2.566666666666667,0.16635054719184136,9.531184273784339
2.6,0.16698829153829522,9.567724333244474
2.6333333333333333,0.18110765746877613,10.376704410461834
2.6666666666666665,0.17117796432804655,9.807774901638027
2.7,0.15857572026320302,9.0857195043287
2.7333333333333334,0.13475580819513538,7.720939074455689
2.7666666666666666,0.1115317945427871,6.3903011088219275
2.8,0.06881562720157267,3.9428450031957776
2.8333333333333335,0.04344349076455046,2.4891286681243114
2.8666666666666667,0.0391782396102289,2.2447477784183834
2.9,7.680294908223869e-05,0.004400484836570437
2.933333333333333,-0.014081756479970458,-0.8068252144333057
2.966666666666667,-0.04292399034907177,-2.4593634868620895
3.0,-0.07456610537862583,-4.272323132923008
3.033333333333333,-0.10672859528290685,-6.115098063070429
3.066666666666667,-0.11933476222889268,-6.837378224912739
3.1,-0.1427109351317266,-8.176734273413201
3.1333333333333333,-0.13658790913545463,-7.8259107259779315
3.1666666666666665,-0.1425837272017279,-8.16944579590368
3.2,-0.1247502970149295,-7.147665511958932
3.2333333333333334,-0.12571040162800012,-7.20267545417892
3.2666666666666666,-0.11395412961509548,-6.529090685031715
3.3,-0.09530773630984868,-5.46073104550008
3.3333333333333335,-0.07571093680848351,-4.33791714210778
3.3666666666666667,-0.0561121565734148,-3.214989751033927
3.4,-0.018110952930380245,-1.0376811658708787
3.433333333333333,0.018086088009346742,1.0362565108377328
3.466666666666667,0.02193573024243969,1.2568247634292764
3.5,0.06324844556924825,3.623868991880836
3.533333333333333,0.08678289972180336,4.972293887966379
3.566666666666667,0.10844715719982193,6.2135644077415755
3.6,0.12522291303322697,7.174744415137655
3.6333333333333333,0.13017634132226444,7.45855495022021
3.6666666666666665,0.14285770860019417,8.18514377370089
3.7,0.14969131524489462,8.576680593294782
3.7333333333333334,0.15124711739370414,8.665821490178951
3.7666666666666666,0.16012020536689717,9.174211982291201
3.8,0.14881838939701345,8.526665626383311
3.8333333333333335,0.11654410304508385,6.677485231621071
3.8666666666666667,0.10897261534452178,6.243670941743652
