tiempo,theta(rad),theta(deg)
0.0000000000,0.2688152072,15.4019768423
0.0333333333,0.2606531288,14.9343241950
0.0666666667,0.1756545406,10.0642638289
0.1000000000,0.1252038403,7.1736516256
0.1333333333,0.0918415917,5.2621355886
0.1666666667,0.0844899101,4.8409152607
0.2000000000,0.0707829697,4.0555654236
0.2333333333,0.0209399960,1.1997733961
0.2666666667,-0.0655630743,-3.7564874516
0.3000000000,-0.1056318801,-6.0522609115
0.3333333333,-0.1166678820,-6.6845772406
0.3666666667,-0.1239091495,-7.0994713086
0.4000000000,-0.1381534033,-7.9156069343
0.4333333333,-0.1712946472,-9.8144603365
0.4666666667,-0.1923701589,-11.0219982077
0.5000000000,-0.1965186235,-11.2596877226
0.5333333333,-0.1475448623,-8.4536978974
0.5666666667,-0.1248592436,-7.1539076922
0.6000000000,-0.1066615200,-6.1112549328
0.6333333333,-0.1101412797,-6.3106304791
0.6666666667,-0.0849284589,-4.8660422539
0.7000000000,-0.0272798255,-1.5630188692
0.7333333333,-0.0103319488,-0.5919770584
0.7666666667,0.0251721994,1.4422607858
0.8000000000,0.0386419505,2.2140206784
0.8333333333,0.0458902058,2.6293151139
0.8666666667,0.1115078417,6.3889287133
0.9000000000,0.1663929121,9.5336116041
0.9333333333,0.1734563869,9.9383188994
0.9666666667,0.1758334506,10.0745146187
1.0000000000,0.1890263263,10.8304107119
1.0333333333,0.1837219725,10.5264936300
1.0666666667,0.1924007548,11.0237512252
1.1000000000,0.1783623646,10.2194107164
1.1333333333,0.1546003814,8.8579493628
1.1666666667,0.1231148066,7.0539588135
1.2000000000,0.0898057289,5.1454892423
1.2333333333,0.0775157390,4.4413246900
1.2666666667,0.0539421812,3.0906593177
1.3000000000,0.0177930685,1.0194677313
1.3333333333,0.0144394296,0.8273183748
1.3666666667,-0.0462597373,-2.6504877063
1.4000000000,-0.0635444543,-3.6408290413
1.4333333333,-0.0845835711,-4.8462816416
1.4666666667,-0.1109732741,-6.3583002427
1.5000000000,-0.1322430190,-7.5769668592
1.5333333333,-0.1583514378,-9.0728690661
1.5666666667,-0.1564996714,-8.9667706656
1.6000000000,-0.1396867777,-8.0034628138
1.6333333333,-0.1316224310,-7.5414097833
1.6666666667,-0.1333639662,-7.6411924021
